voxelID mppcID probability
48 4 0.000202
48 5 0.000226
48 6 0.0002688
48 7 0.0003296
48 8 0.000334
48 9 0.000342
48 10 0.0002936
48 11 0.0002504
48 12 0.0002252
48 13 0.0002124
48 14 0.0001944
48 15 0.000184
48 16 0.000176
49 1 0.0001916
49 2 0.0001864
49 3 0.0001768
49 4 0.0002024
49 5 0.0002168
49 6 0.0002756
49 7 0.000322
49 8 0.0003636
49 9 0.0003716
49 10 0.000324
49 11 0.0002908
49 12 0.000228
49 13 0.000184
49 14 0.0001888
49 15 0.0001788
49 16 0.0001924
50 1 0.0001748
50 2 0.00017
50 3 0.000182
50 4 0.000192
50 5 0.0002116
50 6 0.0002664
50 7 0.0003312
50 8 0.0004348
50 9 0.0004248
50 10 0.0003448
50 11 0.0002728
50 12 0.000218
50 13 0.00019
50 14 0.000188
50 15 0.0001812
50 16 0.000184
51 1 0.0001908
51 2 0.000174
51 3 0.0001732
51 4 0.0001816
51 5 0.0001988
51 6 0.0002488
51 7 0.0003312
51 8 0.0004848
51 9 0.0004996
51 10 0.0003696
51 11 0.00028
51 12 0.0001968
51 13 0.0001896
51 14 0.0001848
51 15 0.0001872
51 16 0.0001912
52 1 0.0002132
52 2 0.0002076
52 3 0.0002048
52 4 0.0001992
52 5 0.0001884
52 6 0.000252
52 7 0.0003372
52 8 0.0005536
52 9 0.0006048
52 10 0.0004116
52 11 0.0002828
52 12 0.000232
52 13 0.0002088
52 14 0.0002148
52 15 0.0002044
52 16 0.0001976
53 1 0.0002708
53 2 0.00028
53 3 0.0002736
53 4 0.0002488
53 5 0.0002372
53 6 0.000264
53 7 0.0003804
53 8 0.0006072
53 9 0.0007156
53 10 0.0004352
53 11 0.0002948
53 12 0.0002372
53 13 0.000216
53 14 0.0002604
53 15 0.0002668
53 16 0.0002688
54 1 0.0003252
54 2 0.00035
54 3 0.0003944
54 4 0.0003176
54 5 0.0002824
54 6 0.0002984
54 7 0.0003848
54 8 0.000702
54 9 0.0009932
54 10 0.0005156
54 11 0.0003148
54 12 0.0002788
54 13 0.0003336
54 14 0.0003604
54 15 0.0003468
54 16 0.0003604
55 1 0.0004132
55 2 0.0004528
55 3 0.000474
55 4 0.0004792
55 5 0.000384
55 6 0.0003476
55 7 0.0004188
55 8 0.0007752
55 9 0.0012932
55 10 0.000522
55 11 0.0003672
55 12 0.00033
55 13 0.000414
55 14 0.0004632
55 15 0.0004696
55 16 0.0004572
56 1 0.00054
56 2 0.000544
56 3 0.0005404
56 4 0.0005888
56 5 0.0005224
56 6 0.000446
56 7 0.0004064
56 8 0.00075
56 9 0.0018132
56 10 0.0005148
56 11 0.0003776
56 12 0.0004568
56 13 0.0005288
56 14 0.0005436
56 15 0.0005328
56 16 0.000548
57 1 0.0006736
57 2 0.0006416
57 3 0.0006148
57 4 0.0006448
57 5 0.000666
57 6 0.0006004
57 7 0.0005172
57 8 0.0006632
57 9 0.0025504
57 10 0.0005184
57 11 0.0005148
